image_path,crop,class,split,domain,width,height,candidate_count,selected_mask_area_pct,stability_score,predicted_iou,centroid_x,centroid_y,norm_centroid_dist,strat_a_success,strat_b_success,strat_c_success,selection_strategy,quality_category,retry_used,final_status
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Late_blight/af0ded43-0d73-4d40-bd97-2597806aa707___GHLB_PS Leaf 37 Day 13.jpg,Tomato,Tomato_Late_Blight,test,Laboratory,256,256,1,23.72,0.9169,0.889,110,128,0.0994,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Late_blight/2d7fa670-2828-440e-aba2-1f7a843988ea___GHLB2 Leaf 8869.JPG,Tomato,Tomato_Late_Blight,test,Laboratory,256,256,5,19.27,0.9238,0.8915,123,123,0.0391,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Target_Spot/b386b7fa-cafd-4a39-bdda-72a2dece15e6___Com.G_TgS_FL 0759.JPG,Tomato,Tomato_Target_Spot,test,Laboratory,256,256,8,40.33,0.9216,0.8999,132,150,0.1235,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/14570c99-8503-4518-b5fe-d3450d53fc19___YLCV_NREC 2365.JPG,Tomato,Tomato_Yellow_Leaf_Curl_Virus,test,Laboratory,256,256,9,43.92,0.9401,0.9139,129,126,0.0124,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/c112cd25-8d05-4bd9-a58e-8c5aaa6bc385___YLCV_NREC 2659.JPG,Tomato,Tomato_Yellow_Leaf_Curl_Virus,test,Laboratory,256,256,6,54.29,0.9437,0.9212,127,132,0.0228,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Leaf_Mold/904a5f71-4358-44b5-98ff-3681df988769___Crnl_L.Mold 6601.JPG,Tomato,Tomato_Leaf_Mold,test,Laboratory,256,256,25,36.74,0.9294,0.9034,134,137,0.0598,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Bacterial_spot/81bffde8-5cee-4cf4-9c5a-fee297a4ada8___GCREC_Bact.Sp 3221.JPG,Tomato,Tomato_Bacterial_Spot,test,Laboratory,256,256,5,51.05,0.9377,0.9156,119,131,0.0524,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/test/test/tomato_early_blight/148.JPG,Tomato,Tomato_Early_Blight,test,Laboratory,1200,800,1,63.99,0.9517,0.931,599,399,0.0021,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/6d57c47e-8499-4b89-85a1-81e1b99c187d___UF.GRC_YLCV_Lab 09450.JPG,Tomato,Tomato_Yellow_Leaf_Curl_Virus,test,Laboratory,256,256,40,42.98,0.9398,0.9133,128,130,0.011,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Spider_mites Two-spotted_spider_mite/ac0382a1-02b3-4ac9-a15c-b530488fd92b___Com.G_SpM_FL 9330.JPG,Tomato,Tomato_Spider_Mites,test,Laboratory,256,256,3,35.96,0.928,0.9021,120,137,0.0665,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/e0af5e0e-9cf3-449e-86f1-e033bbfc2f5f___YLCV_NREC 2599.JPG,Tomato,Tomato_Yellow_Leaf_Curl_Virus,test,Laboratory,256,256,17,36.93,0.9292,0.9034,117,130,0.0618,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato spider mites/tomato_294.jpg,Tomato,Tomato_Spider_Mites,test,Laboratory,800,800,7,62.98,0.9497,0.9292,394,397,0.0119,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_early_blight/tomato_1379.jpg,Tomato,Tomato_Early_Blight,test,Laboratory,1200,800,2,63.97,0.9517,0.931,599,399,0.0021,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/167adedc-42b2-4101-a013-ab905f874abe___YLCV_NREC 2341.JPG,Tomato,Tomato_Yellow_Leaf_Curl_Virus,test,Laboratory,256,256,18,37.72,0.9189,0.8969,144,110,0.133,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Target_Spot/002213fb-b620-4593-b9ac-6a6cc119b100___Com.G_TgS_FL 8360.JPG,Tomato,Tomato_Target_Spot,test,Laboratory,256,256,10,41.47,0.9354,0.9096,132,123,0.0354,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Bacterial_spot/c068927f-d34d-4fcf-b356-0d60f0a5e77c___GCREC_Bact.Sp 3031.JPG,Tomato,Tomato_Bacterial_Spot,test,Laboratory,256,256,8,43.71,0.9266,0.9048,114,140,0.1019,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_healthy_leaf/tomato_1072.jpg,Tomato,Tomato_Healthy,test,Laboratory,1200,800,1,60.23,0.9498,0.928,599,399,0.0021,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Bacterial_spot/de0200a0-173c-401f-827b-2a12d639a744___GCREC_Bact.Sp 3072.JPG,Tomato,Tomato_Bacterial_Spot,test,Laboratory,256,256,9,47.78,0.9351,0.9124,121,136,0.0587,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___healthy/ab43ead0-0a4c-4069-8c29-43310eb145e1___GH_HL Leaf 419.JPG,Tomato,Tomato_Healthy,test,Laboratory,256,256,13,37.24,0.9273,0.9023,139,136,0.0751,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_healthy_leaf/tomato_130.jpg,Tomato,Tomato_Healthy,test,Laboratory,1200,800,1,64.0,0.9517,0.931,599,399,0.0021,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_late_blight/tomato_998.jpg,Tomato,Tomato_Late_Blight,test,Laboratory,1200,800,2,63.93,0.9516,0.9309,599,399,0.0021,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/695d436f-c1af-46d9-860e-aec59448a4f5___YLCV_GCREC 5455.JPG,Tomato,Tomato_Yellow_Leaf_Curl_Virus,test,Laboratory,256,256,6,50.32,0.9352,0.9136,127,116,0.0665,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Bacterial_spot/e0f17fdb-6487-4087-8e72-de93c881ebb2___GCREC_Bact.Sp 5719.JPG,Tomato,Tomato_Bacterial_Spot,test,Laboratory,256,256,9,45.39,0.9344,0.9108,122,136,0.0552,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Septoria_leaf_spot/02b079eb-8c74-42bf-b956-d3aecdb9d4ad___JR_Sept.L.S 8522.JPG,Tomato,Tomato_Septoria_Leaf_Spot,test,Laboratory,256,256,106,32.64,0.9272,0.9,117,127,0.061,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/ae0369a9-6e25-4183-a079-d6e28441c393___UF.GRC_YLCV_Lab 03208.JPG,Tomato,Tomato_Yellow_Leaf_Curl_Virus,test,Laboratory,256,256,14,49.25,0.9386,0.9154,126,121,0.0402,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_early_blight/tomato_410.jpg,Tomato,Tomato_Early_Blight,test,Laboratory,1200,800,5,63.85,0.9516,0.9309,599,399,0.0021,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/test/test/tomato_leaf_mold/248.JPG,Tomato,Tomato_Leaf_Mold,test,Laboratory,1200,800,1,63.98,0.9517,0.931,599,399,0.0021,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/92993d98-9fe1-4299-98c9-c1cb1caa7a67___UF.GRC_YLCV_Lab 09346.JPG,Tomato,Tomato_Yellow_Leaf_Curl_Virus,test,Laboratory,256,256,16,49.78,0.9352,0.9134,132,139,0.0647,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Bacterial_spot/d707ecc4-8ccf-4373-8d0f-ccf4a5f9fa2d___UF.GRC_BS_Lab Leaf 9171.JPG,Tomato,Tomato_Bacterial_Spot,test,Laboratory,256,256,23,47.26,0.9348,0.9119,120,135,0.0587,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato Fusarium Wilt/tomato_028.jpeg,Tomato,Tomato_Fusarium_Wilt,test,Laboratory,800,800,1,64.0,0.9516,0.931,399,399,0.0025,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/Tomato Leaf Disease Classification Dataset in Paki/Tomato Dataset/Dataset (raw)/Tomato_leaf_yellow_curl_virus/1422_0_jpeg_jpg.rf.141e71ae4e0fb1b8cf91de832e61eea5.jpg,Tomato,Tomato_Yellow_Leaf_Curl_Virus,test,Field,416,416,2,61.95,0.9484,0.9278,203,207,0.0173,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_early_blight/tomato_683.jpg,Tomato,Tomato_Early_Blight,test,Laboratory,1200,800,1,63.91,0.9516,0.9309,599,399,0.0021,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Bacterial_spot/86bcf005-a793-4d1f-a767-99548b4c3aa6___GCREC_Bact.Sp 3131.JPG,Tomato,Tomato_Bacterial_Spot,test,Laboratory,256,256,5,49.15,0.942,0.9176,127,131,0.0175,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_leaf_miner/tomato_440.jpg,Tomato,Tomato_Miner,test,Laboratory,1200,800,1,64.0,0.9517,0.931,599,399,0.0021,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Bacterial_spot/a0fb8315-0051-4631-bcc7-2ef60e9d63c8___GCREC_Bact.Sp 6114.JPG,Tomato,Tomato_Bacterial_Spot,test,Laboratory,256,256,12,49.26,0.9382,0.9151,123,134,0.0431,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_bacterial_spot/tomato_1198.jpg,Tomato,Tomato_Bacterial_Spot,test,Laboratory,1200,800,1,64.0,0.9517,0.931,599,399,0.0021,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_healthy_leaf/tomato_779.jpg,Tomato,Tomato_Healthy,test,Laboratory,1200,800,37,60.37,0.946,0.9255,622,406,0.028,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/test/test/tomato_late_blight/20.JPG,Tomato,Tomato_Late_Blight,test,Laboratory,1200,800,1,64.0,0.9517,0.931,599,399,0.0021,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Septoria_leaf_spot/085e05c8-68e6-45f5-aa76-4d58620c1593___Matt.S_CG 6700.JPG,Tomato,Tomato_Septoria_Leaf_Spot,test,Laboratory,256,256,5,40.94,0.9322,0.9072,136,134,0.0552,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/test/test/tomato_leaf_curl/tomato_197.jpg,Tomato,Tomato_Yellow_Leaf_Curl_Virus,test,Laboratory,1200,800,1,64.0,0.9517,0.931,599,399,0.0021,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/919be4c2-1ff6-4fd2-8f71-26aa280b8d3b___YLCV_NREC 2639.JPG,Tomato,Tomato_Yellow_Leaf_Curl_Virus,test,Laboratory,256,256,4,55.51,0.9396,0.9189,121,135,0.0547,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/4ad01f87-c626-49e6-b683-188155a87116___UF.GRC_YLCV_Lab 02238.JPG,Tomato,Tomato_Yellow_Leaf_Curl_Virus,test,Laboratory,256,256,14,45.68,0.942,0.916,129,128,0.0055,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_leaf_mold/tomato_484.jpg,Tomato,Tomato_Leaf_Mold,test,Laboratory,800,1200,2,61.12,0.9502,0.9287,399,599,0.0021,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_bacterial_spot/tomato_251.jpg,Tomato,Tomato_Bacterial_Spot,test,Laboratory,800,1200,75,55.17,0.9354,0.916,367,648,0.0813,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato leaf bacterial spot/05-069f9.jpg,Tomato,Tomato_Bacterial_Spot,test,Laboratory,326,234,29,32.06,0.9238,0.8975,145,121,0.0817,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/test/test/tomato_leaf_curl/tomato_079.jpg,Tomato,Tomato_Yellow_Leaf_Curl_Virus,test,Laboratory,1200,800,1,64.0,0.9517,0.931,599,399,0.0021,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_healthy_leaf/tomato_942.jpg,Tomato,Tomato_Healthy,test,Laboratory,1200,800,3,63.4,0.9508,0.9301,595,401,0.0062,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/5dca9b56-a818-419c-8187-6ebdf4ad1991___YLCV_GCREC 2795.JPG,Tomato,Tomato_Yellow_Leaf_Curl_Virus,test,Laboratory,256,256,5,38.53,0.9342,0.9075,129,122,0.0336,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/test/test/tomato_leaf_curl/50.jpg,Tomato,Tomato_Yellow_Leaf_Curl_Virus,test,Laboratory,800,1200,7,63.38,0.9512,0.9304,401,602,0.0029,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/8006a6ee-bc87-499c-8535-e46578797327___UF.GRC_YLCV_Lab 01475.JPG,Tomato,Tomato_Yellow_Leaf_Curl_Virus,test,Laboratory,256,256,10,48.09,0.9307,0.9096,112,130,0.0891,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Bacterial_spot/c0e3fc41-4d61-4a2d-a1e0-f5d658803182___GCREC_Bact.Sp 5975.JPG,Tomato,Tomato_Bacterial_Spot,test,Laboratory,256,256,9,50.71,0.9357,0.9141,122,138,0.0644,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Target_Spot/6362e569-bbfc-4315-8c1e-9becbf57b426___Com.G_TgS_FL 0830.JPG,Tomato,Tomato_Target_Spot,test,Laboratory,256,256,5,48.43,0.9323,0.9108,136,140,0.0797,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_late_blight/tomato_550.jpg,Tomato,Tomato_Late_Blight,test,Laboratory,1200,800,2,58.04,0.9483,0.9259,603,398,0.005,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Target_Spot/93fad1d9-90a1-4536-be9f-f197d85c51ef___Com.G_TgS_FL 8223.JPG,Tomato,Tomato_Target_Spot,test,Laboratory,256,256,2,47.04,0.9218,0.9032,109,146,0.1446,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/c13eafa1-74af-48b8-875f-8f795a576e70___UF.GRC_YLCV_Lab 03091.JPG,Tomato,Tomato_Yellow_Leaf_Curl_Virus,test,Laboratory,256,256,50,45.67,0.9318,0.9092,125,115,0.0737,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Spider_mites Two-spotted_spider_mite/504b03b4-c056-4468-a6ce-19fa79243071___Com.G_SpM_FL 8965.JPG,Tomato,Tomato_Spider_Mites,test,Laboratory,256,256,16,38.92,0.9234,0.9004,144,139,0.1073,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/test/test/tomato_bacterial_spot/tomato_204.jpg,Tomato,Tomato_Bacterial_Spot,test,Laboratory,800,1200,61,54.07,0.9337,0.9144,423,533,0.0888,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Leaf_Mold/d5926e32-2f9f-413f-b6b8-fe86725729d2___Crnl_L.Mold 8974.JPG,Tomato,Tomato_Leaf_Mold,test,Laboratory,256,256,3,37.47,0.9338,0.9067,122,128,0.0331,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Bacterial_spot/213539dc-f50d-4f98-a380-4fcfc575d208___UF.GRC_BS_Lab Leaf 9122.JPG,Tomato,Tomato_Bacterial_Spot,test,Laboratory,256,256,22,38.59,0.931,0.9053,127,118,0.0555,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Leaf_Mold/0ddf82ad-9004-4913-ac9c-d00333d7c858___Crnl_L.Mold 7089.JPG,Tomato,Tomato_Leaf_Mold,test,Laboratory,256,256,1,29.37,0.925,0.8971,122,118,0.0644,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
