crop,image_path,source_dataset,domain,true_disease,predicted_disease,confidence,epistemic_uncertainty
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/test/Tomato Early blight leaf/dscn3175.jpg,plantdoc,Lab,Tomato_Early_Blight,Tomato_Leaf_Mold,0.7732,0.245
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato Early blight leaf/2373320.jpg,plantdoc,Lab,Tomato_Early_Blight,Tomato_Septoria_Leaf_Spot,0.5406,0.4214
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato Early blight leaf/Early_blight_1.jpg_1376579808.jpg,plantdoc,Lab,Tomato_Early_Blight,Tomato_Septoria_Leaf_Spot,0.4618,0.583
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato leaf late blight/Pest2369.jpg,plantdoc,Lab,Tomato_Late_Blight,Tomato_Early_Blight,0.8771,0.1332
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato mold leaf/5830204360_757cd7fdfc_z.jpg,plantdoc,Lab,Tomato_Leaf_Mold,Tomato_Late_Blight,0.9328,0.0728
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato mold leaf/OLU13.jpg,plantdoc,Lab,Tomato_Leaf_Mold,Tomato_Spider_Mites,0.0769,1.0
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato mold leaf/tdisease12.jpg,plantdoc,Lab,Tomato_Leaf_Mold,Tomato_Bacterial_Spot,0.0769,1.0
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/test/Tomato leaf mosaic virus/D%29AlfMov.jpg,plantdoc,Lab,Tomato_Mosaic_Virus,Tomato_Leaf_Mold,0.5595,0.2939
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/test/Tomato leaf mosaic virus/page_2.jpg,plantdoc,Lab,Tomato_Mosaic_Virus,Tomato_Leaf_Mold,0.2385,0.821
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/test/Tomato leaf mosaic virus/tmv-tomato-34.jpg,plantdoc,Lab,Tomato_Mosaic_Virus,Tomato_Healthy,0.6515,0.3775
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato leaf mosaic virus/51196-004-61703A1B.jpg,plantdoc,Lab,Tomato_Mosaic_Virus,Tomato_Yellow_Leaf_Curl_Virus,0.3022,0.6242
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato leaf mosaic virus/mosaic_virus_tomato_small.jpg,plantdoc,Lab,Tomato_Mosaic_Virus,Tomato_Spider_Mites,0.3663,0.6865
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato leaf mosaic virus/tomato-mosaic-virus-1.jpg,plantdoc,Lab,Tomato_Mosaic_Virus,Tomato_Bacterial_Spot,0.0769,1.0
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato leaf mosaic virus/tomatodisease001sm.jpg,plantdoc,Lab,Tomato_Mosaic_Virus,Tomato_Yellow_Leaf_Curl_Virus,0.5891,0.4452
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/test/Tomato Septoria leaf spot/sept4disease-019.jpg,plantdoc,Lab,Tomato_Septoria_Leaf_Spot,Tomato_Early_Blight,0.3098,0.4703
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato Septoria leaf spot/46-Septoria-leaf-spot.jpg,plantdoc,Lab,Tomato_Septoria_Leaf_Spot,Tomato_Healthy,0.7524,0.2646
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato Septoria leaf spot/6336392950972416.jpeg.jpg,plantdoc,Lab,Tomato_Septoria_Leaf_Spot,Tomato_Yellow_Leaf_Curl_Virus,0.3708,0.4049
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato Septoria leaf spot/bed-4-tomatoes-23jun13.jpg,plantdoc,Lab,Tomato_Septoria_Leaf_Spot,Tomato_Yellow_Leaf_Curl_Virus,0.6994,0.324
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato Septoria leaf spot/classic-septoria.jpg,plantdoc,Lab,Tomato_Septoria_Leaf_Spot,Tomato_Yellow_Leaf_Curl_Virus,0.4136,0.56
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/test/Tomato leaf yellow virus/17fc47.jpg,plantdoc,Lab,Tomato_Yellow_Leaf_Curl_Virus,Tomato_Early_Blight,0.6115,0.4208
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato leaf yellow virus/tomato-yellow-leaf-curl-disease.jpg,plantdoc,Lab,Tomato_Yellow_Leaf_Curl_Virus,Tomato_Leaf_Mold,0.5901,0.2411
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Early_blight/00c5c908-fc25-4710-a109-db143da23112___RS_Erly.B 7778.JPG,plantvillage,Lab,Tomato_Early_Blight,Tomato_Spider_Mites,0.5156,0.4758
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Early_blight/f0763973-1898-4ae6-9350-c9b61976c600___RS_Erly.B 6456.JPG,plantvillage,Lab,Tomato_Early_Blight,Tomato_Bacterial_Spot,0.8746,0.1255
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Early_blight/f7682a27-eeb7-4e22-89f0-df8531c5fb8f___RS_Erly.B 7728.JPG,plantvillage,Lab,Tomato_Early_Blight,Tomato_Late_Blight,0.505,0.1848
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Early_blight/fc38942e-e609-41a2-970c-cc1a67b16fe2___RS_Erly.B 7793.JPG,plantvillage,Lab,Tomato_Early_Blight,Tomato_Target_Spot,0.5996,0.21
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Late_blight/3e7acc8a-73b1-4c21-bc67-bb6e65c4d373___GHLB Leaf 8.1 Day 12.JPG,plantvillage,Lab,Tomato_Late_Blight,Tomato_Leaf_Mold,0.7913,0.1323
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Late_blight/697751e5-f4d4-448e-bf98-656ebfd01ba5___RS_Late.B 5180.JPG,plantvillage,Lab,Tomato_Late_Blight,Tomato_Early_Blight,0.2504,0.812
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Late_blight/d674cbf6-0cdc-407a-97ea-c3f53f2c51e4___GH_HL Leaf 170.JPG,plantvillage,Lab,Tomato_Late_Blight,Tomato_Healthy,0.9404,0.0645
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Target_Spot/b76a19d9-8059-4b55-9a0f-e5f8f2cfb3cb___Com.G_TgS_FL 9964.JPG,plantvillage,Lab,Tomato_Target_Spot,Tomato_Spider_Mites,0.4624,0.1053
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/24e17354-b47a-4d44-8164-97c0a4e24806___UF.GRC_YLCV_Lab 08458.JPG,plantvillage,Lab,Tomato_Yellow_Leaf_Curl_Virus,Tomato_Bacterial_Spot,0.4633,0.1468
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/26308383-47d1-4bff-b79a-adebe7aeddc3___UF.GRC_YLCV_Lab 08535.JPG,plantvillage,Lab,Tomato_Yellow_Leaf_Curl_Virus,Tomato_Bacterial_Spot,0.7796,0.1518
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/41082437-2c12-4340-8d2e-02e967d0a2fa___YLCV_GCREC 2073.JPG,plantvillage,Lab,Tomato_Yellow_Leaf_Curl_Virus,Tomato_Spider_Mites,0.8829,0.1269
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/Tomato Leaf Disease Classification Dataset in Paki/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/IMG-20240724-WA0109.jpg,tomato_pakistan,Field,Tomato_Leaf_Mold,Tomato_Bacterial_Spot,0.0809,0.9943
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/Tomato Leaf Disease Classification Dataset in Paki/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/IMG-20240724-WA0114.jpg,tomato_pakistan,Field,Tomato_Leaf_Mold,Tomato_Early_Blight,0.077,0.9999
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/Tomato Leaf Disease Classification Dataset in Paki/Tomato Dataset/Dataset (raw)/Tomato_Early_blight_leaf/Gls65_change_270.jpg,tomato_pakistan,Field,Tomato_Early_Blight,Tomato_Leaf_Mold,0.8722,0.1285
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/Tomato Leaf Disease Classification Dataset in Paki/Tomato Dataset/Dataset (raw)/Tomato_Early_blight_leaf/IMG-20240812-WA0139.jpg,tomato_pakistan,Field,Tomato_Early_Blight,Tomato_Bacterial_Spot,0.6728,0.3545
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/Tomato Leaf Disease Classification Dataset in Paki/Tomato Dataset/Dataset (raw)/Tomato_Early_blight_leaf/Gls64_mirror_vertical.jpg,tomato_pakistan,Field,Tomato_Early_Blight,Tomato_Septoria_Leaf_Spot,0.4543,0.5837
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/Tomato Leaf Disease Classification Dataset in Paki/Tomato Dataset/Dataset (raw)/Tomato_Early_blight_leaf/1723454501459.jpg,tomato_pakistan,Field,Tomato_Early_Blight,Tomato_Yellow_Leaf_Curl_Virus,0.4835,0.1797
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/Tomato Leaf Disease Classification Dataset in Paki/Tomato Dataset/Dataset (raw)/Tomato_leaf_late_blight/IMG_20251102_155447.jpg,tomato_pakistan,Field,Tomato_Late_Blight,Tomato_Early_Blight,0.4677,0.3235
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/Tomato Leaf Disease Classification Dataset in Paki/Tomato Dataset/Dataset (raw)/Tomato_leaf_late_blight/6-13lateblightleavesMARY_jpg.rf.1114a350a3d07eb0c4f5a4cdcbbe82ed.jpg,tomato_pakistan,Field,Tomato_Late_Blight,Tomato_Spider_Mites,0.1877,0.7422
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/Tomato Leaf Disease Classification Dataset in Paki/Tomato Dataset/Dataset (raw)/Tomato_Septoria_leaf_spot/images (1).jpg,tomato_pakistan,Field,Tomato_Septoria_Leaf_Spot,Tomato_Bacterial_Spot,0.5288,0.1738
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/Tomato Leaf Disease Classification Dataset in Paki/Tomato Dataset/Dataset (raw)/Tomato_Septoria_leaf_spot/SS_ (31).jpg,tomato_pakistan,Field,Tomato_Septoria_Leaf_Spot,Tomato_Healthy,0.7379,0.2738
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/Tomato Leaf Disease Classification Dataset in Paki/Tomato Dataset/Dataset (raw)/Tomato_Septoria_leaf_spot/Gls32_mirror_vertical.jpg,tomato_pakistan,Field,Tomato_Septoria_Leaf_Spot,Tomato_Healthy,0.8211,0.1938
Tomato,ml_pipeline/data/new_Dataset/Tomato Leaf Disease Classification Dataset in Paki/Tomato Dataset/Dataset (raw)/Tomato_Healthy_leaf/2013-08-20-03.jpg,Tomato Leaf Disease Classification Dataset in Paki,Lab,Tomato_Healthy,Tomato_Mosaic_Virus,0.557,0.1428
Potato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/test/Potato leaf early blight/3023.jpg,plantdoc,Lab,Potato_Early_Blight,Potato_Late_Blight,0.9395,0.0908
Potato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Potato leaf early blight/0042241.jpg,plantdoc,Lab,Potato_Early_Blight,Potato_Late_Blight,0.8231,0.2389
Potato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Potato leaf early blight/14321627273_58d893c3e2_potato-plant.jpg,plantdoc,Lab,Potato_Early_Blight,Potato_Late_Blight,0.9553,0.067
Potato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Potato leaf early blight/15hrt15a1f1.jpg,plantdoc,Lab,Potato_Early_Blight,Potato_Late_Blight,0.9526,0.0711
Potato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Potato leaf early blight/3785483636_d888419c98_o.jpg,plantdoc,Lab,Potato_Early_Blight,Potato_Late_Blight,0.6842,0.1972
Potato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Potato leaf early blight/5816740026_d42ef24413_Phytophthora-Infestans.jpg,plantdoc,Lab,Potato_Early_Blight,Potato_Late_Blight,0.9477,0.0785
Potato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Potato leaf early blight/AF_news_p4_p5_p6_Blight.jpg,plantdoc,Lab,Potato_Early_Blight,Potato_Late_Blight,0.9491,0.0764
Potato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Potato leaf early blight/B2650214-Potato_leaf_blight-SPL.jpg,plantdoc,Lab,Potato_Early_Blight,Potato_Late_Blight,0.9243,0.1135
Potato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Potato leaf early blight/fac66s01h.jpg,plantdoc,Lab,Potato_Early_Blight,Potato_Late_Blight,0.964,0.0541
Potato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Potato leaf early blight/potato-blight-showing-on-potato-plant-leaves-KJ70DB.jpg,plantdoc,Lab,Potato_Early_Blight,Potato_Late_Blight,0.9409,0.0886
Potato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Potato leaf late blight/Late-blight.jpg,plantdoc,Lab,Potato_Late_Blight,Potato_Early_Blight,0.8607,0.1833
Potato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Potato leaf late blight/late-blight-leaf.jpg,plantdoc,Lab,Potato_Late_Blight,Potato_Early_Blight,0.8635,0.1994
Potato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Potato leaf late blight/late_blight.jpg,plantdoc,Lab,Potato_Late_Blight,Potato_Early_Blight,0.8421,0.1887
Potato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Potato leaf late blight/potato-blight-phytophora-infestans-close-up-of-infected-leaf-top-surface-A60HXG.jpg,plantdoc,Lab,Potato_Late_Blight,Potato_Early_Blight,0.9456,0.0816
Potato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Potato___Late_blight/14b29609-0bde-4d56-ac07-5db1b6df6fce___RS_LB 4983.JPG,plantvillage,Lab,Potato_Late_Blight,Potato_Healthy,0.5162,0.2252
Potato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Potato___Late_blight/4d56ef9d-bc69-489c-92de-d2fad01d762d___RS_LB 3890.JPG,plantvillage,Lab,Potato_Late_Blight,Potato_Healthy,0.846,0.2188
Potato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Potato___Late_blight/dae7db93-d197-4616-a16b-5dcc59058bc2___RS_LB 3178.JPG,plantvillage,Lab,Potato_Late_Blight,Potato_Early_Blight,0.4772,0.2325
Potato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Potato___Late_blight/eb5ff6de-b988-42d7-87bf-374a4b938af9___RS_LB 4234.JPG,plantvillage,Lab,Potato_Late_Blight,Potato_Early_Blight,0.6797,0.291
Potato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Potato___Late_blight/fdc86644-2491-4ace-b7e3-190e1d68ebba___RS_LB 5129.JPG,plantvillage,Lab,Potato_Late_Blight,Potato_Early_Blight,0.5642,0.1912
Potato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Training/Late_Blight/Late_Blight_83.jpg,potato_pld,Field,Potato_Late_Blight,Potato_Early_Blight,0.8763,0.1766
Potato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Training/Late_Blight/Late_Blight_790.jpg,potato_pld,Field,Potato_Late_Blight,Potato_Early_Blight,0.9574,0.064
Pepper,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Bell_pepper leaf spot/pepper_bacterial-spot_02_zoom.jpg,plantdoc,Lab,Pepper_Bacterial_Spot,Pepper_Healthy,0.7117,0.2348
Pepper,"/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Pepper,_bell___Bacterial_spot/be6cc3db-0571-47d0-87f4-f01491a6ea16___NREC_B.Spot 9217.JPG",plantvillage,Lab,Pepper_Bacterial_Spot,Pepper_Healthy,0.9234,0.0919
Pepper,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/Pepper Bell Leaf Disease/PEPPER BELL DATASET/PepperBell_Bacterial Spot/pepper_bell_bacterial_spot1590.jpg,bell_pepper_mendeley,Field,Pepper_Bacterial_Spot,Pepper_Healthy,0.925,0.09
Pepper,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/Pepper Bell Leaf Disease/PEPPER BELL DATASET/PepperBell_Bacterial Spot/pepper_bell_bacterial_spot1653.jpg,bell_pepper_mendeley,Field,Pepper_Bacterial_Spot,Pepper_Healthy,0.7299,0.1631
Pepper,ml_pipeline/data/new_Dataset/Pepper Bell Leaf Disease/PEPPER BELL DATASET/PepperBell_Bacterial Spot/01613cd0-d3cd-4e96-945c-a312002037bf___JR_B.Spot_3262_flipTB.JPG,Pepper Bell Leaf Disease,Lab,Pepper_Bacterial_Spot,Pepper_Healthy,0.5133,0.1969
