image_path,source_dataset,true_crop,pred_crop,true_disease,pred_disease,crop_conf,disease_conf,epistemic_unc,error_type
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato leaf late blight/Pest2369.jpg,plantdoc,Tomato,Potato,Tomato_Late_Blight,ROUTING_ERROR,0.9524,0.9468,0.0799,CROP_ROUTING_ERROR
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato mold leaf/5830204360_757cd7fdfc_z.jpg,plantdoc,Tomato,Potato,Tomato_Leaf_Mold,ROUTING_ERROR,0.8788,0.9546,0.068,CROP_ROUTING_ERROR
"/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Pepper,_bell___Bacterial_spot/be6cc3db-0571-47d0-87f4-f01491a6ea16___NREC_B.Spot 9217.JPG",plantvillage,Pepper,Pepper,Pepper_Bacterial_Spot,Pepper_Healthy,0.9793,0.9239,0.0914,DISEASE_CLASSIFICATION_ERROR
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Potato___Late_blight/4d56ef9d-bc69-489c-92de-d2fad01d762d___RS_LB 3890.JPG,plantvillage,Potato,Potato,Potato_Late_Blight,Potato_Healthy,0.9841,0.8496,0.2147,DISEASE_CLASSIFICATION_ERROR
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Late_blight/3e7acc8a-73b1-4c21-bc67-bb6e65c4d373___GHLB Leaf 8.1 Day 12.JPG,plantvillage,Tomato,Tomato,Tomato_Late_Blight,Tomato_Leaf_Mold,0.8625,0.7946,0.1323,DISEASE_CLASSIFICATION_ERROR
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/Tomato Leaf Disease Classification Dataset in Paki/Tomato Dataset/Dataset (raw)/Tomato_leaf_late_blight/6-13lateblightleavesMARY_jpg.rf.1114a350a3d07eb0c4f5a4cdcbbe82ed.jpg,tomato_pakistan,Tomato,Potato,Tomato_Late_Blight,ROUTING_ERROR,0.931,0.9524,0.0714,CROP_ROUTING_ERROR
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Training/Late_Blight/Late_Blight_83.jpg,potato_pld,Potato,Potato,Potato_Late_Blight,Potato_Early_Blight,0.9846,0.8755,0.1775,DISEASE_CLASSIFICATION_ERROR
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Training/Late_Blight/Late_Blight_790.jpg,potato_pld,Potato,Potato,Potato_Late_Blight,Potato_Early_Blight,0.9904,0.9572,0.0641,DISEASE_CLASSIFICATION_ERROR
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/Pepper Bell Leaf Disease/PEPPER BELL DATASET/PepperBell_Bacterial Spot/pepper_bell_bacterial_spot1590.jpg,bell_pepper_mendeley,Pepper,Pepper,Pepper_Bacterial_Spot,Pepper_Healthy,0.9752,0.9245,0.0906,DISEASE_CLASSIFICATION_ERROR
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/Pepper Bell Leaf Disease/PEPPER BELL DATASET/PepperBell_Bacterial Spot/pepper_bell_bacterial_spot1653.jpg,bell_pepper_mendeley,Pepper,Pepper,Pepper_Bacterial_Spot,Pepper_Healthy,0.9763,0.7307,0.1626,DISEASE_CLASSIFICATION_ERROR
